TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;147,51;0,62;34,97;6,99;3,95;50,56;21,14;18,35;25,58;30,92;0,57;0,13;6,42;15,89;-6,54;2,68;19,97;11,29;15,19;0,57;0,43;0,62;6,82;31,45;;21,12;4,22;;43.228.587.303,00
AA;31,48;1,27;-8,68;1,33;0,40;6,99;-4,52;-6,17;36,47;-16,28;-4,43;0,50;0,54;4,11;-0,58;1,45;-15,31;-4,60;-9,04;0,30;0,70;0,75;-4,67;;;23,67;-3,63;;5.652.517.320,00
AACG;1,08;;-3,27;1,48;0,47;51,68;-31,49;-32,34;;-2,75;0,61;-0,27;1,06;-1,01;-0,55;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;106,31;;;0,73;-0,33;;33.913.512,00
AACQ;9,99;;-93,43;180,94;1,25;;;;;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;14,83;;11,81;-1,87;0,15;62,46;6,19;1,56;2,97;10,45;7,48;;0,18;-1,14;-0,20;0,62;-15,80;1,30;10,71;-0,08;1,08;0,84;3,46;-10,26;;-7,94;1,26;;9.710.043.344,00
AAME;2,74;0,73;19,94;0,57;0,15;11,92;3,76;1,51;7,78;5,46;-2,57;-0,18;0,30;;-0,15;;2,84;0,78;5,89;0,27;0,73;0,51;0,73;-19,56;;4,84;0,14;;55.902.302,00
AAN;7,41;6,75;79,69;0,33;0,12;52,31;0,68;0,13;0,40;24,90;9,33;0,20;0,11;-1,80;-0,22;0,87;0,41;0,15;1,20;0,38;0,62;1,17;3,58;-43,87;;22,60;0,09;;224.977.974,00
AAOI;14,71;;-10,08;2,63;1,45;27,07;-21,42;-25,75;-23,66;-13,41;-1,29;0,28;2,60;7,13;-2,61;1,85;-26,08;-14,40;-14,12;0,55;0,45;0,56;-4,04;;;5,60;-1,46;;564.836.051,00
