TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;3,00;;24,62;0,40;0,08;100,00;103,49;14,11;3,36;32,51;29,15;3,45;3,47;;-0,08;;1,61;0,32;2,10;0,20;0,80;0,02;-30,10;;;7,55;0,12;;85.100.100,00
AAT;26,43;4,84;38,20;1,30;0,53;64,42;26,92;10,04;14,25;28,39;14,14;1,29;3,84;;-0,53;;3,41;1,40;3,90;0,41;0,59;0,14;4,96;-2,73;;20,26;0,69;;1.604.795.241,00
ABR;14,65;10,51;8,30;0,89;0,14;99,30;323,89;122,06;3,13;9,47;6,34;1,81;10,13;;-0,14;;10,73;1,70;8,42;0,16;0,84;0,01;28,66;46,46;;16,45;1,76;;2.512.820.740,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;48,96;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;11,78;0,85;14,57;0,84;0,24;100,00;1.148,07;493,64;6,26;24,02;17,76;2,37;71,91;;-0,24;;5,74;1,61;3,79;0,28;0,72;0,00;;6,15;;14,09;0,81;;641.333.828,00
ADC;72,70;3,88;46,93;1,42;0,98;87,63;53,04;33,91;30,00;37,51;7,51;0,35;15,91;;-0,98;;3,02;2,09;3,31;0,69;0,31;0,06;29,96;22,07;;51,34;1,55;;6.439.271.640,00
AFCG;15,77;14,14;8,02;0,92;0,68;;;;6,89;8,19;1,30;0,17;;;-0,68;;11,52;8,49;10,41;0,74;0,26;0,00;;;;17,06;1,97;;321.140.280,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;14,92;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;46,58;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;47,15;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
