TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;173,94;0,44;53,19;10,65;5,02;71,70;27,66;21,54;41,43;42,55;1,13;0,29;11,46;27,60;-7,68;2,11;20,02;9,44;13,66;0,47;0,53;0,44;5,74;12,39;;16,34;3,27;;52.655.586.438,00
AA;48,83;;21,17;2,42;0,63;19,12;9,80;4,12;8,90;10,81;1,91;0,52;0,87;5,96;-0,89;1,57;11,44;2,99;10,22;0,26;0,74;0,72;-3,68;;;20,17;2,31;;9.124.676.546,00
AACG;2,68;;-6,01;3,12;1,00;39,93;-57,36;-54,48;-5,70;-4,96;0,74;-0,41;3,27;-3,21;-1,24;0,38;-51,94;-16,71;-53,67;0,32;0,68;0,31;-17,45;;;0,86;-0,45;;84.959.216,00
AACQ;9,99;;-93,43;180,94;1,25;;;;-27,75;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;-30,69;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;-6,94;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;19,73;;-2,20;-1,67;0,18;54,50;-31,56;-31,08;-2,17;-5,74;-3,57;;0,68;11,34;-0,26;1,05;-75,75;-8,02;-23,37;-0,11;1,11;0,26;-15,81;;;-11,84;-8,97;;12.774.342.394,00
AAME;4,00;0,50;5,12;0,57;0,20;16,67;10,68;7,72;3,70;3,27;-0,43;-0,07;0,39;;-0,20;;11,21;3,94;12,41;0,35;0,65;0,51;3,32;24,99;;6,98;0,78;;81.643.200,00
AAN;26,93;1,28;9,31;1,20;0,65;71,39;30,57;5,22;1,59;1,50;-0,09;-0,07;0,49;-13,59;-0,73;0,72;12,89;6,93;71,22;0,54;0,46;1,33;;;;22,45;2,89;;879.873.118,00
AAOI;7,46;;-4,32;0,73;0,43;22,32;-16,81;-20,14;-5,17;-7,61;-2,44;0,34;0,87;1,72;-0,76;2,30;-16,91;-9,91;-9,78;0,59;0,41;0,49;4,32;;;10,22;-1,73;;202.474.844,00
