TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;130,70;0,70;30,88;6,55;3,56;50,71;20,99;18,15;22,46;27,50;0,80;0,20;5,60;14,83;-5,82;2,61;21,21;11,52;15,56;0,54;0,46;0,63;6,82;31,45;;19,95;4,23;;38.295.635.870,00
AA;27,31;1,46;-5,44;1,08;0,35;5,98;-6,05;-8,44;-187,46;-10,63;-3,04;0,43;0,46;2,80;-0,51;1,66;-19,87;-6,44;-11,56;0,32;0,68;0,76;1,34;;;25,26;-5,02;;4.874.067.589,00
AACG;1,08;;-3,27;1,48;0,47;51,68;-31,49;-32,34;;-2,75;0,61;-0,27;1,06;-1,01;-0,55;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;106,31;;;0,73;-0,33;;33.913.512,00
AACQ;9,99;;-93,43;180,94;1,25;;;;;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;13,66;;5,56;-1,74;0,14;62,41;8,05;3,04;2,10;7,26;5,16;;0,17;-1,16;-0,18;0,69;-31,27;2,44;13,28;-0,08;1,08;0,81;2,82;-37,02;;-7,86;2,46;;8.927.364.596,00
AAME;2,55;0,78;18,56;0,53;0,14;11,92;3,76;1,51;7,24;4,90;-2,57;-0,18;0,28;;-0,14;;2,84;0,78;5,89;0,27;0,73;0,51;0,73;-19,56;;4,84;0,14;;52.025.865,00
AAN;10,22;4,89;33,24;0,44;0,17;51,63;0,71;0,42;0,54;29,27;9,47;0,21;0,14;-2,58;-0,31;0,87;1,33;0,52;0,71;0,39;0,61;1,23;4,77;;;23,10;0,31;;309.965.446,00
AAOI;15,78;;-8,98;3,14;1,50;19,90;-24,79;-28,54;-17,50;-12,08;-1,74;0,53;2,56;-23,51;-2,68;0,87;-35,01;-16,70;-17,83;0,48;0,52;0,59;-10,24;;;5,02;-1,76;;560.767.548,00
